"","No_ofProducts","GenderID","TransactedProducts","HasFixedDeposit","HasActiveLoans","LoanHistory","ChurnStatus","Total_Deposits","Total_Deposits_per_day","Total_Deposits_per_week","Total_Deposits_per_month","Total_Deposits_per_year","Av_Deposits","No_Trx","WeekdayTrx","EndMonthTrxs","MidMonthTrxs","Transactions_per_day","Transactions_per_week","Transactions_per_month","Transactions_per_year","Total_Withdrawals","Max_Withdrawals","Av_Withdrawals","days_since_last_trx","LastDepositBalance"
"1","3","Unknown","2","1","Yes","Yes","Not_Churn",825100,3173.46153846154,22214.2307692308,95203.8461538462,1158313.46153846,8872.04301075269,93,93,78,15,0.357692307692308,2.50384615384615,10.7307692307692,130.557692307692,852560,27500,9167.31182795699,1,0
"2","2","Unknown","2","1","Yes","Yes","Not_Churn",5225545,8360.872,58526.104,250826.16,3051718.28,23645,221,190,31,190,0.3536,2.4752,10.608,129.064,6001226.95,1e+06,27154.8730769231,12,0
"3","2","Unknown","1","1","NO","No","Churn",100,100,100,100,100,100,1,1,0,1,1,1,1,1,0,0,0,617,0
"4","2","Unknown","1","1","NO","No","Churn",500,11.9047619047619,83.3333333333333,357.142857142857,4345.2380952381,71.4285714285714,7,7,0,7,0.166666666666667,1.16666666666667,5,60.8333333333333,500,434,71.4285714285714,408,0
"5","3","Unknown","2","1","Yes","Yes","Not_Churn",23440,118.383838383838,828.686868686869,3551.51515151515,43210.101010101,1172,20,17,0,20,0.101010101010101,0.707070707070707,3.03030303030303,36.8686868686869,28984,6160,1449.2,257,0
"6","2","Unknown","2","1","NO","No","Not_Churn",224,0.492307692307692,3.44615384615385,14.7692307692308,179.692307692308,9.33333333333333,24,19,2,22,0.0527472527472527,0.369230769230769,1.58241758241758,19.2527472527473,60,5,2.5,142,0
"7","3","Unknown","2","1","NO","No","Not_Churn",400,25,175,750,9125,44.4444444444444,9,5,0,9,0.5625,3.9375,16.875,205.3125,360,100,40,114,0
"8","2","Unknown","1","1","NO","No","Churn",1100,50,350,1500,18250,157.142857142857,7,0,2,5,0.318181818181818,2.22727272727273,9.54545454545455,116.136363636364,1066,1000,152.285714285714,563,0
"9","3","Unknown","2","1","Yes","Yes","Not_Churn",5540,145.789473684211,1020.52631578947,4373.68421052632,53213.1578947368,615.555555555556,9,6,0,9,0.236842105263158,1.65789473684211,7.10526315789474,86.4473684210526,11546,5500,1282.88888888889,164,0
"10","1","Unknown","1","1","NO","No","Not_Churn",1213600,3103.83631713555,21726.8542199489,93115.0895140665,1132900.25575448,11449.0566037736,106,88,30,76,0.271099744245524,1.89769820971867,8.13299232736573,98.9514066496164,1213600,2e+05,11449.0566037736,193,0
"11","3","Unknown","2","1","Yes","Yes","Not_Churn",3245,85.3947368421053,597.763157894737,2561.84210526316,31169.0789473684,463.571428571429,7,6,0,7,0.184210526315789,1.28947368421053,5.52631578947368,67.2368421052632,6814.5,3245,973.5,164,0
"12","4","Unknown","4","1","Yes","Yes","Not_Churn",104684,189.989110707804,1329.92377495463,5699.67332123412,69346.0254083485,1517.15942028986,69,49,0,69,0.125226860254083,0.876588021778584,3.7568058076225,45.7078039927405,109996,5500,1594.14492753623,26,134
"13","3","Unknown","2","1","NO","No","Not_Churn",197,2.4320987654321,17.0246913580247,72.962962962963,887.716049382716,14.0714285714286,14,9,4,10,0.172839506172839,1.20987654320988,5.18518518518519,63.0864197530864,127,40,9.07142857142857,23,67
"14","3","Unknown","3","1","NO","No","Churn",1780,9.51871657754011,66.6310160427807,285.561497326203,3474.33155080214,42.3809523809524,42,35,4,38,0.224598930481283,1.57219251336898,6.7379679144385,81.9786096256685,1756,430,41.8095238095238,379,20
"15","3","Unknown","3","1","NO","No","Churn",84,0.552631578947368,3.86842105263158,16.5789473684211,201.710526315789,7.63636363636364,11,5,0,11,0.0723684210526316,0.506578947368421,2.17105263157895,26.4144736842105,53,22,4.81818181818182,414,3
"16","2","Unknown","1","1","NO","No","Churn",2100,2100,14700,63000,766500,420,5,0,0,5,5,35,150,1825,2100,2040,420,563,0
